City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
240,fort abbas,29.1925,72.8536,82.18,33,96,3.8,PK,1697407343
241,nuku'alofa,-21.1333,-175.2,77.34,73,40,13.8,TO,1697407343
242,portage,41.1667,-81.1998,50.04,80,100,8.05,US,1697407344
243,tazacorte,28.629,-17.9293,83.16,37,0,5.99,ES,1697407344
244,st. john's,47.5649,-52.7093,54.79,82,75,8.05,CA,1697407213
245,cestos city,5.46,-9.5828,78.35,86,100,9.06,LR,1697407344
246,fale old settlement,-9.3852,-171.2468,83.32,73,34,21.79,TK,1697407344
247,cooma,-36.2333,149.1333,47.53,77,98,11.65,AU,1697407211
248,chandpur,29.15,78.2667,71.49,53,21,2.8,IN,1697407345
249,maragogi,-9.0122,-35.2225,76.78,76,89,10.33,BR,1697407345
250,gebeit,21.0667,36.3167,74.46,53,0,5.01,SD,1697407345
251,san martin,-33.081,-68.4681,82.94,13,5,5.23,AR,1697407346
252,klyuchi,52.2667,79.1667,39.56,77,20,6.62,RU,1697407346
253,iscar,41.3434,-4.5246,61.36,86,100,5.86,ES,1697407346
254,novodvinsk,64.4165,40.8122,44.78,93,84,9.62,RU,1697407346
255,sodankyla,67.4167,26.6,32.94,99,100,4.94,FI,1697407346
256,axim,4.8699,-2.2405,77.72,89,43,8.16,GH,1697407347
257,udachny,66.4167,112.4,23.45,92,100,7.87,RU,1697407310
258,tual,-5.6667,132.75,79.72,79,86,15.84,ID,1697407347
259,new batu batu,5.0667,119.8833,81.88,77,100,4.43,PH,1697407347
260,warwick,41.7001,-71.4162,57.9,60,75,10.36,US,1697407348
261,beira,-19.8436,34.8389,78.89,83,20,13.0,MZ,1697407052
262,iquique,-20.2208,-70.1431,66.24,92,65,5.68,CL,1697407227
263,laurel,39.0993,-76.8483,58.93,62,100,6.91,US,1697407201
264,nguigmi,14.2495,13.1092,88.52,25,23,11.95,NE,1697407348
265,calingasta,-31.3308,-69.4078,78.19,6,39,14.97,AR,1697407349
266,meadow lakes,61.6247,-149.6011,53.04,62,100,3.0,US,1697407349
267,inirida,3.8653,-67.9239,76.32,93,77,3.24,CO,1697407349
268,dalnegorsk,44.5604,135.5701,41.59,59,1,11.01,RU,1697407349
269,kabompo,-13.5927,24.2008,67.62,71,67,3.22,ZM,1697407350
270,petawawa,45.9001,-77.3328,49.78,85,100,9.22,CA,1697407350
